# Athena++ data at time=2.000000e-01  cycle=779  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0002 -4.99023e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0003 -4.97070e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0004 -4.95117e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0005 -4.93164e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0006 -4.91211e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0007 -4.89258e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0008 -4.87305e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0009 -4.85352e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0010 -4.83398e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0011 -4.81445e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0012 -4.79492e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0013 -4.77539e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0014 -4.75586e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0015 -4.73633e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0016 -4.71680e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0017 -4.69727e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0018 -4.67773e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0019 -4.65820e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0020 -4.63867e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0021 -4.61914e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0022 -4.59961e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0023 -4.58008e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0024 -4.56055e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0025 -4.54102e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0026 -4.52148e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0027 -4.50195e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0028 -4.48242e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0029 -4.46289e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0030 -4.44336e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0031 -4.42383e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0032 -4.40430e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0033 -4.38477e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0034 -4.36523e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0035 -4.34570e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
0036 -4.32617e-01  1.08000e+00  9.50000e-01  1.20000e+00  1.00000e-02  5.00000e-01  1.12838e+00  1.01554e+00  5.64190e-01
